Time	Position
0.845	-1.27102
0.846	-1.27759
0.847	-1.28415
0.848	-1.29071
0.849	-1.29725
0.85	-1.30379
0.851	-1.31032
0.852	-1.31683
0.853	-1.32334
0.854	-1.32984
0.855	-1.33633
0.856	-1.34281
0.857	-1.34928
0.858	-1.35574
0.859	-1.36219
0.86	-1.36863
0.861	-1.37506
0.862	-1.38148
0.863	-1.38788
0.864	-1.39428
0.865	-1.40066
0.866	-1.40703
0.867	-1.41339
0.868	-1.41973
0.869	-1.42606
0.87	-1.43238
0.871	-1.43868
0.872	-1.44498
0.873	-1.45125
0.874	-1.45751
0.875	-1.46376
0.876	-1.46999
0.877	-1.47621
0.878	-1.48241
0.879	-1.4886
0.88	-1.49476
0.881	-1.50092
0.882	-1.50705
0.883	-1.51317
0.884	-1.51926
0.885	-1.52534
0.886	-1.5314
0.887	-1.53745
0.888	-1.54347
0.889	-1.54947
0.89	-1.55545
0.891	-1.56141
0.892	-1.56735
0.893	-1.57326
0.894	-1.57916
0.895	-1.58503
0.896	-1.59088
0.897	-1.5967
0.898	-1.6025
0.899	-1.60827
0.9	-1.61402
0.901	-1.61974
0.902	-1.62543
0.903	-1.6311
0.904	-1.63674
0.905	-1.64235
0.906	-1.64793
0.907	-1.65348
0.908	-1.659
0.909	-1.66449
0.91	-1.66995
0.911	-1.67537
0.912	-1.68076
0.913	-1.68612
0.914	-1.69144
0.915	-1.69673
0.916	-1.70198
0.917	-1.70719
0.918	-1.71237
0.919	-1.7175
0.92	-1.7226
0.921	-1.72766
0.922	-1.73267
0.923	-1.73765
0.924	-1.74258
0.925	-1.74747
0.926	-1.75231
0.927	-1.75711
0.928	-1.76186
0.929	-1.76657
0.93	-1.77122
0.931	-1.77583
0.932	-1.78039
0.933	-1.7849
0.934	-1.78935
0.935	-1.79375
0.936	-1.7981
0.937	-1.8024
0.938	-1.80664
0.939	-1.81082
0.94	-1.81494
0.941	-1.81901
0.942	-1.82301
0.943	-1.82696
0.944	-1.83084
0.945	-1.83466
0.946	-1.83842
0.947	-1.84211
0.948	-1.84574
0.949	-1.8493
0.95	-1.85279
0.951	-1.85621
0.952	-1.85957
0.953	-1.86285
0.954	-1.86606
0.955	-1.8692
0.956	-1.87226
0.957	-1.87525
0.958	-1.87817
0.959	-1.881
0.96	-1.88376
0.961	-1.88645
0.962	-1.88905
0.963	-1.89157
0.964	-1.89401
0.965	-1.89637
0.966	-1.89864
0.967	-1.90084
0.968	-1.90294
0.969	-1.90497
0.97	-1.9069
0.971	-1.90875
0.972	-1.91051
0.973	-1.91219
0.974	-1.91377
0.975	-1.91527
0.976	-1.91667
0.977	-1.91799
0.978	-1.91921
0.979	-1.92035
0.98	-1.92139
0.981	-1.92234
0.982	-1.92319
0.983	-1.92395
0.984	-1.92462
0.985	-1.9252
0.986	-1.92568
0.987	-1.92607
0.988	-1.92636
0.989	-1.92656
0.99	-1.92667
0.991	-1.92668
0.992	-1.92659
0.993	-1.92641
0.994	-1.92614
0.995	-1.92577
0.996	-1.92531
0.997	-1.92475
0.998	-1.9241
0.999	-1.92336
1	-1.92253
1.001	-1.9216
1.002	-1.92057
1.003	-1.91946
1.004	-1.91826
1.005	-1.91696
1.006	-1.91557
1.007	-1.9141
1.008	-1.91253
1.009	-1.91088
1.01	-1.90913
1.011	-1.9073
1.012	-1.90538
1.013	-1.90338
1.014	-1.90129
1.015	-1.89912
1.016	-1.89686
1.017	-1.89452
1.018	-1.89209
1.019	-1.88959
1.02	-1.887
1.021	-1.88434
1.022	-1.8816
1.023	-1.87878
1.024	-1.87588
1.025	-1.8729
1.026	-1.86986
1.027	-1.86673
1.028	-1.86354
1.029	-1.86027
1.03	-1.85693
1.031	-1.85352
1.032	-1.85004
1.033	-1.8465
1.034	-1.84289
1.035	-1.83921
1.036	-1.83546
1.037	-1.83166
1.038	-1.82779
1.039	-1.82385
1.04	-1.81986
1.041	-1.81581
1.042	-1.8117
1.043	-1.80753
1.044	-1.8033
1.045	-1.79902
1.046	-1.79468
1.047	-1.79029
1.048	-1.78585
1.049	-1.78135
1.05	-1.7768
1.051	-1.7722
1.052	-1.76756
1.053	-1.76286
1.054	-1.75812
1.055	-1.75333
1.056	-1.7485
1.057	-1.74362
1.058	-1.7387
1.059	-1.73373
1.06	-1.72872
1.061	-1.72368
1.062	-1.71859
1.063	-1.71346
1.064	-1.70829
1.065	-1.70309
1.066	-1.69784
1.067	-1.69256
1.068	-1.68725
1.069	-1.6819
1.07	-1.67652
1.071	-1.6711
1.072	-1.66565
1.073	-1.66017
1.074	-1.65465
1.075	-1.64911
1.076	-1.64354
1.077	-1.63793
1.078	-1.6323
1.079	-1.62664
1.08	-1.62095
1.081	-1.61523
1.082	-1.60949
1.083	-1.60372
1.084	-1.59793
1.085	-1.59211
1.086	-1.58627
1.087	-1.58041
1.088	-1.57452
1.089	-1.56861
1.09	-1.56267
1.091	-1.55672
1.092	-1.55074
1.093	-1.54474
1.094	-1.53873
1.095	-1.53269
1.096	-1.52663
1.097	-1.52056
1.098	-1.51446
1.099	-1.50835
1.1	-1.50222
1.101	-1.49607
1.102	-1.48991
1.103	-1.48372
1.104	-1.47753
1.105	-1.47131
1.106	-1.46508
1.107	-1.45884
1.108	-1.45258
1.109	-1.44631
1.11	-1.44002
1.111	-1.43372
1.112	-1.4274
1.113	-1.42107
1.114	-1.41473
1.115	-1.40838
1.116	-1.40201
1.117	-1.39563
1.118	-1.38924
1.119	-1.38284
1.12	-1.37642
1.121	-1.37
1.122	-1.36356
1.123	-1.35711
1.124	-1.35066
1.125	-1.34419
1.126	-1.33771
1.127	-1.33122
1.128	-1.32472
1.129	-1.31822
1.13	-1.3117
1.131	-1.30517
1.132	-1.29864
1.133	-1.2921
1.134	-1.28555
1.135	-1.27899
1.136	-1.27242
1.137	-1.26584
1.138	-1.25926
1.139	-1.25267
1.14	-1.24607
1.141	-1.23946
1.142	-1.23285
1.143	-1.22623
1.144	-1.2196
1.145	-1.21296
1.146	-1.20632
1.147	-1.19968
1.148	-1.19302
1.149	-1.18636
1.15	-1.1797
1.151	-1.17302
1.152	-1.16634
1.153	-1.15966
1.154	-1.15297
1.155	-1.14628
1.156	-1.13957
1.157	-1.13287
1.158	-1.12616
1.159	-1.11944
1.16	-1.11272
1.161	-1.10599
1.162	-1.09926
1.163	-1.09252
1.164	-1.08578
1.165	-1.07904
1.166	-1.07229
1.167	-1.06553
1.168	-1.05877
1.169	-1.05201
1.17	-1.04524
1.171	-1.03847
1.172	-1.03169
1.173	-1.02491
1.174	-1.01813
1.175	-1.01134
1.176	-1.00455
1.177	-0.997754
1.178	-0.990955
1.179	-0.984152
1.18	-0.977346
1.181	-0.970536
1.182	-0.963723
1.183	-0.956907
1.184	-0.950087
1.185	-0.943264
1.186	-0.936437
1.187	-0.929608
1.188	-0.922775
1.189	-0.91594
1.19	-0.909101
1.191	-0.902259
1.192	-0.895415
1.193	-0.888568
1.194	-0.881717
1.195	-0.874864
1.196	-0.868009
1.197	-0.86115
1.198	-0.854289
1.199	-0.847425
1.2	-0.840559
1.201	-0.83369
1.202	-0.826819
1.203	-0.819945
1.204	-0.813069
1.205	-0.80619
1.206	-0.799309
1.207	-0.792426
1.208	-0.785541
1.209	-0.778653
1.21	-0.771763
1.211	-0.76487
1.212	-0.757976
1.213	-0.75108
1.214	-0.744181
1.215	-0.73728
1.216	-0.730378
1.217	-0.723473
1.218	-0.716566
1.219	-0.709658
1.22	-0.702747
1.221	-0.695835
1.222	-0.688921
1.223	-0.682004
1.224	-0.675087
1.225	-0.668167
1.226	-0.661245
1.227	-0.654322
1.228	-0.647397
1.229	-0.640471
1.23	-0.633542
1.231	-0.626612
1.232	-0.619681
1.233	-0.612748
1.234	-0.605813
1.235	-0.598877
1.236	-0.591939
1.237	-0.585
1.238	-0.578059
1.239	-0.571116
1.24	-0.564173
1.241	-0.557228
1.242	-0.550281
1.243	-0.543333
1.244	-0.536384
1.245	-0.529433
1.246	-0.522482
1.247	-0.515528
1.248	-0.508574
1.249	-0.501618
1.25	-0.494661
1.251	-0.487703
1.252	-0.480744
1.253	-0.473783
1.254	-0.466821
1.255	-0.459858
1.256	-0.452894
1.257	-0.445929
1.258	-0.438963
1.259	-0.431996
1.26	-0.425027
1.261	-0.418058
1.262	-0.411088
1.263	-0.404116
1.264	-0.397144
1.265	-0.39017
1.266	-0.383196
1.267	-0.376221
1.268	-0.369245
1.269	-0.362268
1.27	-0.35529
1.271	-0.348311
1.272	-0.341332
1.273	-0.334351
1.274	-0.32737
1.275	-0.320388
1.276	-0.313405
1.277	-0.306422
1.278	-0.299438
1.279	-0.292453
1.28	-0.285467
1.281	-0.27848
1.282	-0.271493
1.283	-0.264506
1.284	-0.257517
1.285	-0.250528
1.286	-0.243539
1.287	-0.236549
1.288	-0.229558
1.289	-0.222567
1.29	-0.215575
1.291	-0.208583
1.292	-0.20159
1.293	-0.194597
1.294	-0.187603
1.295	-0.180609
1.296	-0.173614
1.297	-0.166619
1.298	-0.159624
1.299	-0.152628
1.3	-0.145632
1.301	-0.138635
1.302	-0.131638
1.303	-0.124641
1.304	-0.117643
1.305	-0.110646
1.306	-0.103648
1.307	-0.0966494
1.308	-0.0896508
1.309	-0.0826521
1.31	-0.0756532
1.311	-0.0686541
1.312	-0.0616548
1.313	-0.0546554
1.314	-0.0476558
1.315	-0.0406561
1.316	-0.0336564
1.317	-0.0266565
1.318	-0.0196566
1.319	-0.0126567
1.32	-0.00565668
1.321	0.00134333
1.322	0.00834332
1.323	0.0153433
1.324	0.0223432
1.325	0.0293431
1.326	0.0363429
1.327	0.0433427
1.328	0.0503423
1.329	0.0573418
1.33	0.0643412
1.331	0.0713404
1.332	0.0783394
1.333	0.0853383
1.334	0.0923369
1.335	0.0993354
1.336	0.106334
1.337	0.113332
1.338	0.120329
1.339	0.127327
1.34	0.134324
1.341	0.14132
1.342	0.148317
1.343	0.155313
1.344	0.162309
1.345	0.169304
1.346	0.176299
1.347	0.183293
1.348	0.190287
1.349	0.197281
1.35	0.204274
1.351	0.211267
1.352	0.218259
1.353	0.22525
1.354	0.232241
1.355	0.239232
1.356	0.246222
1.357	0.253211
1.358	0.2602
1.359	0.267188
1.36	0.274175
1.361	0.281162
1.362	0.288148
1.363	0.295133
1.364	0.302118
1.365	0.309102
1.366	0.316085
1.367	0.323068
1.368	0.33005
1.369	0.33703
1.37	0.344011
1.371	0.35099
1.372	0.357968
1.373	0.364946
1.374	0.371922
1.375	0.378898
1.376	0.385873
1.377	0.392847
1.378	0.39982
1.379	0.406792
1.38	0.413763
1.381	0.420733
1.382	0.427702
1.383	0.43467
1.384	0.441637
1.385	0.448603
1.386	0.455567
1.387	0.462531
1.388	0.469493
1.389	0.476455
1.39	0.483415
1.391	0.490374
1.392	0.497331
1.393	0.504288
1.394	0.511243
1.395	0.518197
1.396	0.52515
1.397	0.532101
1.398	0.539051
1.399	0.546
1.4	0.552947
1.401	0.559893
1.402	0.566838
1.403	0.573781
1.404	0.580723
1.405	0.587663
